Id,Credit Score,Income,Employment Status,Debt-to-Income Ratio,Loan Amount,Loan Purpose,Marital Status,Number of Dependents,Residence Status,Previous Loan History,Bank Account Balance,Education Level,Existing Loan Balance,Maximum Loan Limit,Loan Approval Status
56,755,58775,Employed,0.34,55532,Education,Single,0,Living with Parents,Paid in Full,43790,Master or above,1449.2550382793254,26285,1
57,657,176603,Employed,0.1,26407,Home Purchase,Married,2,Renter,No Previous Loan,5169,Bachelor,0.0,72517,1
58,701,62802,Employed,0.28,5750,Personal Expenses,Single,0,Renter,Paid in Full,32958,Bachelor,657.6516504732441,26857,1
59,800,49606,Employed,0.1,31460,Personal Expenses,Single,2,Renter,Paid in Full,5169,Bachelor,0.0,24803,1
60,800,43777,Employed,0.323,25334,Home Purchase,Married,2,Owner,Paid in Full,4537,Bachelor,0.0,21888,1
61,795,136031,Employed,0.136,8695,Car Purchase,Single,2,Owner,No Previous Loan,12591,High School,0.0,67590,1
62,610,40620,Self-employed,0.1,33121,Personal Expenses,Married,3,Renter,Paid in Full,14415,Master or above,0.0,15486,0
63,725,86658,Employed,0.27,12813,Car Purchase,Married,1,Renter,No Previous Loan,2743,Bachelor,0.0,39266,1
64,473,45365,Employed,0.236,12017,Car Purchase,Married,5,Living with Parents,Defaulted,6177,Master or above,118.78834076859195,13292,0
65,779,47664,Employed,0.1,11694,Car Purchase,Married,1,Living with Parents,Paid in Full,9107,High School,0.0,23206,1
66,721,100430,Employed,0.1,1323,Home Purchase,Married,1,Renter,No Previous Loan,11246,High School,0.0,45256,1
67,668,49616,Self-employed,0.181,8858,Car Purchase,Single,3,Owner,No Previous Loan,15302,High School,0.0,20714,0
68,698,49006,Employed,0.1,30606,Personal Expenses,Married,3,Renter,No Previous Loan,9921,High School,0.0,21378,1
69,692,0,Unemployed,0.1,14667,Car Purchase,Married,4,Owner,No Previous Loan,28340,Master or above,0.0,0,1
70,646,133358,Self-employed,0.212,4148,Car Purchase,Single,0,Renter,Defaulted,101600,Master or above,10828.81371060886,43014,1
71,779,82821,Employed,0.103,39357,Home Purchase,Single,2,Owner,Paid in Full,3591,Bachelor,0.0,40323,1
72,798,43248,Employed,0.243,11127,Home Purchase,Single,2,Living with Parents,Paid in Full,8128,High School,0.0,21569,1
73,800,46480,Self-employed,0.349,4421,Home Purchase,Single,1,Renter,No Previous Loan,4451,Master or above,0.0,23240,0
74,741,62446,Self-employed,0.185,136191,Home Purchase,Single,1,Renter,No Previous Loan,4013,High School,0.0,28920,1
75,607,70443,Self-employed,0.213,5232,Car Purchase,Single,0,Renter,No Previous Loan,7423,Bachelor,0.0,26724,0
76,648,36613,Self-employed,0.4,36145,Car Purchase,Married,2,Renter,Defaulted,3651,High School,746.5565983878643,14081,0
77,796,86130,Employed,0.1,6949,Home Purchase,Married,1,Renter,No Previous Loan,20183,Bachelor,0.0,42849,1
78,800,62621,Employed,0.319,17182,Personal Expenses,Married,2,Renter,Paid in Full,89551,Master or above,0.0,31310,1
79,539,25444,Employed,0.307,6085,Car Purchase,Married,2,Living with Parents,No Previous Loan,9660,High School,0.0,8571,0
80,459,37708,Self-employed,0.285,4343,Personal Expenses,Single,0,Renter,No Previous Loan,5923,Bachelor,0.0,10817,0
81,514,46631,Employed,0.329,25286,Home Purchase,Single,0,Living with Parents,Paid in Full,2080,Bachelor,0.0,14980,0
82,598,57853,Employed,0.228,22496,Home Purchase,Married,1,Owner,No Previous Loan,5841,High School,0.0,21622,0
83,618,154313,Employed,0.142,47120,Education,Married,3,Renter,No Previous Loan,16729,Master or above,0.0,59603,1
84,684,67587,Employed,0.309,14493,Home Purchase,Married,2,Renter,No Previous Loan,11907,Bachelor,0.0,28893,1
85,549,39407,Employed,0.313,138158,Home Purchase,Married,2,Renter,Paid in Full,4076,Bachelor,0.0,13521,0
86,733,66997,Self-employed,0.311,19617,Home Purchase,Married,1,Renter,Paid in Full,17535,Bachelor,0.0,30693,1
87,724,50314,Employed,0.204,26438,Home Purchase,Married,1,Renter,Paid in Full,3828,Bachelor,0.0,22767,1
88,654,70578,Self-employed,0.128,3855,Education,Single,1,Living with Parents,No Previous Loan,15176,High School,0.0,28848,0
89,797,80208,Employed,0.219,8117,Education,Single,1,Renter,No Previous Loan,17238,High School,0.0,39953,1
90,787,109832,Employed,0.294,25222,Car Purchase,Married,2,Owner,No Previous Loan,10564,High School,0.0,54023,1
91,613,59275,Self-employed,0.302,13788,Home Purchase,Single,0,Renter,No Previous Loan,41420,Master or above,0.0,22709,0
92,593,136159,Self-employed,0.157,18096,Personal Expenses,Married,1,Renter,Paid in Full,3984,High School,0.0,50463,0
93,716,94476,Employed,0.232,6629,Home Purchase,Single,2,Renter,Paid in Full,94970,Bachelor,0.0,42278,1
94,454,42124,Self-employed,0.1,16945,Education,Single,0,Renter,No Previous Loan,2298,Bachelor,0.0,11952,0
95,731,181140,Employed,0.298,16887,Personal Expenses,Married,2,Renter,No Previous Loan,2638,Master or above,0.0,82758,1
96,800,70657,Employed,0.122,4607,Home Purchase,Married,4,Renter,No Previous Loan,1661,High School,0.0,35328,1
97,527,39519,Employed,0.279,28519,Home Purchase,Single,0,Living with Parents,Defaulted,6452,High School,7081.519451030532,5935,0
98,721,137112,Employed,0.1,2740,Personal Expenses,Divorced,3,Owner,No Previous Loan,1007,Bachelor,0.0,61786,1
99,695,169564,Employed,0.303,18034,Home Purchase,Single,1,Renter,Paid in Full,10864,Master or above,0.0,73654,1
100,605,59017,Employed,0.232,87675,Home Purchase,Married,1,Living with Parents,No Previous Loan,10901,Master or above,0.0,22315,0
101,747,46642,Employed,0.122,29624,Car Purchase,Married,1,Renter,Paid in Full,4604,High School,0.0,21775,1
102,800,55045,Employed,0.269,29439,Home Purchase,Single,1,Owner,No Previous Loan,7211,High School,0.0,27522,1
103,800,85773,Employed,0.141,6114,Personal Expenses,Married,1,Owner,Paid in Full,8600,Bachelor,0.0,42886,1
104,680,0,Unemployed,0.275,87980,Home Purchase,Married,2,Living with Parents,No Previous Loan,9847,High School,0.0,0,0
105,738,79805,Employed,0.173,59428,Car Purchase,Single,0,Renter,Paid in Full,6303,Bachelor,0.0,36810,1
106,800,63130,Employed,0.1,6452,Education,Married,2,Living with Parents,Paid in Full,6787,Master or above,0.0,31565,1
107,654,126893,Self-employed,0.102,9330,Car Purchase,Married,7,Living with Parents,Paid in Full,12436,Master or above,0.0,51867,1
108,606,51312,Employed,0.157,52599,Education,Married,1,Owner,Defaulted,3251,High School,116114.58547296739,0,0
109,797,100464,Employed,0.337,90395,Personal Expenses,Married,4,Living with Parents,Paid in Full,6206,High School,0.0,50043,1
110,783,51951,Employed,0.29,4234,Personal Expenses,Single,4,Renter,No Previous Loan,28676,Bachelor,0.0,25423,1
111,707,74429,Employed,0.362,5497,Car Purchase,Single,0,Living with Parents,Paid in Full,4230,High School,0.0,32888,1
112,602,0,Unemployed,0.365,12991,Education,Married,1,Renter,Paid in Full,3640,High School,0.0,0,0
113,563,58347,Self-employed,0.147,1710,Home Purchase,Married,2,Renter,No Previous Loan,3160,Bachelor,0.0,20530,0
114,597,49682,Employed,0.181,15288,Car Purchase,Married,2,Renter,No Previous Loan,4328,High School,0.0,18537,0
115,655,117539,Self-employed,0.159,49096,Home Purchase,Single,2,Renter,Paid in Full,21502,High School,0.0,48117,0
116,675,41590,Self-employed,0.133,3558,Personal Expenses,Single,0,Living with Parents,Paid in Full,22780,High School,0.0,17545,0
117,584,41439,Employed,0.1,17033,Home Purchase,Single,0,Renter,No Previous Loan,21779,Master or above,0.0,15125,0
118,691,173268,Self-employed,0.199,8383,Personal Expenses,Single,1,Owner,Paid in Full,15764,Master or above,0.0,74830,1
119,676,97833,Employed,0.1,77323,Car Purchase,Single,2,Renter,Paid in Full,14322,High School,0.0,41334,1
120,708,18206,Self-employed,0.197,8484,Personal Expenses,Married,1,Owner,No Previous Loan,24337,Bachelor,0.0,8056,1
121,521,45227,Self-employed,0.4,68514,Car Purchase,Single,1,Living with Parents,No Previous Loan,6276,Bachelor,0.0,14727,0
122,525,24248,Employed,0.149,8253,Personal Expenses,Married,1,Renter,Defaulted,22304,High School,9845.515243056905,0,0
123,751,37300,Employed,0.219,32434,Education,Married,2,Living with Parents,Paid in Full,35565,High School,0.0,17507,1
124,702,12491,Employed,0.291,19297,Personal Expenses,Married,1,Owner,No Previous Loan,2028,Bachelor,0.0,5480,1
125,677,56027,Employed,0.228,13062,Personal Expenses,Single,1,Renter,No Previous Loan,7354,Bachelor,0.0,23706,0
126,662,33898,Self-employed,0.229,6804,Personal Expenses,Married,3,Renter,No Previous Loan,7000,Bachelor,0.0,14025,0
127,665,61824,Self-employed,0.164,20720,Home Purchase,Married,1,Renter,No Previous Loan,9747,Master or above,0.0,25695,1
128,654,26623,Employed,0.177,9655,Education,Divorced,2,Renter,No Previous Loan,15593,High School,0.0,10882,0
129,677,62539,Employed,0.104,7525,Home Purchase,Married,1,Renter,Paid in Full,80432,Master or above,0.0,26461,1
130,762,48758,Employed,0.285,65416,Home Purchase,Married,2,Renter,No Previous Loan,2574,Bachelor,0.0,23220,1
131,542,127144,Employed,0.1,25934,Personal Expenses,Married,1,Owner,No Previous Loan,2913,Master or above,0.0,43070,1
132,680,121513,Employed,0.297,28550,Home Purchase,Single,0,Owner,No Previous Loan,23370,Bachelor,0.0,51643,1
133,738,88856,Employed,0.1,10139,Car Purchase,Married,2,Living with Parents,No Previous Loan,15167,High School,0.0,40984,1
134,457,0,Unemployed,0.296,12454,Home Purchase,Divorced,1,Renter,No Previous Loan,6486,Bachelor,0.0,0,0
135,695,161909,Employed,0.165,11698,Home Purchase,Single,1,Renter,Paid in Full,7044,Bachelor,0.0,70329,1
136,800,27600,Employed,0.1,21016,Home Purchase,Married,2,Owner,No Previous Loan,8950,High School,0.0,13800,1
137,800,29742,Self-employed,0.258,28498,Car Purchase,Married,3,Owner,No Previous Loan,15424,Master or above,0.0,14871,1
138,800,57538,Employed,0.293,14553,Home Purchase,Married,2,Owner,No Previous Loan,19364,High School,0.0,28769,1
139,624,0,Unemployed,0.156,6789,Education,Single,1,Renter,Paid in Full,24408,High School,1135.5405059456843,0,0
140,645,0,Unemployed,0.272,32092,Home Purchase,Single,1,Renter,No Previous Loan,36765,Bachelor,0.0,0,0
141,800,54746,Employed,0.1,15509,Personal Expenses,Single,0,Owner,No Previous Loan,25477,High School,0.0,27373,1
142,760,29177,Employed,0.1,3550,Personal Expenses,Single,1,Renter,No Previous Loan,8128,Master or above,0.0,13859,1
143,709,96284,Employed,0.329,1773,Car Purchase,Married,3,Renter,Defaulted,2554,High School,41472.73158681771,1193,1
144,732,96634,Employed,0.178,20205,Home Purchase,Single,1,Renter,Paid in Full,4531,High School,0.0,44210,1
145,661,89021,Employed,0.1,6544,Home Purchase,Married,1,Living with Parents,Paid in Full,1326,Bachelor,0.0,36776,1
146,609,43804,Employed,0.13,23083,Personal Expenses,Married,1,Renter,Paid in Full,90060,High School,0.0,16672,0
147,800,42139,Employed,0.108,6906,Education,Single,1,Owner,Paid in Full,35224,Bachelor,0.0,21069,1
148,778,31430,Employed,0.183,17136,Education,Single,0,Renter,Paid in Full,5993,Bachelor,0.0,15282,1
149,600,62569,Employed,0.163,10274,Personal Expenses,Divorced,1,Owner,Defaulted,18634,Master or above,14295.306015459473,9168,1
150,624,0,Unemployed,0.218,86485,Personal Expenses,Married,2,Renter,Paid in Full,8649,High School,0.0,0,0
151,578,33302,Employed,0.193,38797,Personal Expenses,Single,2,Renter,Paid in Full,21288,High School,1054.3318201309621,10976,0
152,611,48545,Employed,0.336,57705,Personal Expenses,Single,2,Renter,Paid in Full,17679,High School,870.1350959048693,17667,0
153,693,46982,Employed,0.242,15365,Personal Expenses,Divorced,0,Renter,Paid in Full,8849,High School,0.0,20349,1
154,550,0,Unemployed,0.246,34138,Personal Expenses,Single,2,Renter,No Previous Loan,11699,Bachelor,0.0,0,0
155,566,75759,Employed,0.317,16439,Car Purchase,Married,1,Living with Parents,No Previous Loan,5771,Bachelor,0.0,26799,1
156,558,62418,Employed,0.161,65211,Personal Expenses,Single,3,Renter,Paid in Full,17191,Bachelor,0.0,21768,1
157,668,51949,Self-employed,0.1,13950,Personal Expenses,Single,2,Owner,Defaulted,1565,Bachelor,10086.94867121433,11601,0
158,714,65749,Employed,0.321,3708,Car Purchase,Married,1,Living with Parents,Defaulted,16046,Bachelor,3440.34521615861,25900,1
159,764,36546,Self-employed,0.214,2032,Car Purchase,Single,0,Renter,No Previous Loan,2275,Bachelor,0.0,17450,1
160,800,63242,Employed,0.214,79548,Education,Single,2,Owner,Paid in Full,9881,High School,0.0,31621,1
161,707,64692,Employed,0.137,24204,Car Purchase,Single,2,Renter,Paid in Full,10990,Bachelor,0.0,28585,1
162,733,28298,Employed,0.138,25849,Personal Expenses,Married,3,Living with Parents,No Previous Loan,13001,Bachelor,0.0,12964,1
163,763,98710,Employed,0.285,66532,Home Purchase,Single,2,Renter,Paid in Full,4389,Bachelor,0.0,47072,1
164,715,38614,Employed,0.298,2875,Personal Expenses,Single,3,Renter,No Previous Loan,4588,Bachelor,0.0,17255,1
165,449,62771,Self-employed,0.278,10479,Car Purchase,Single,0,Owner,Defaulted,15663,High School,41907.65815628879,0,0
166,783,107398,Employed,0.279,11845,Home Purchase,Single,0,Renter,No Previous Loan,5745,Bachelor,0.0,52557,1
167,637,95314,Employed,0.257,31510,Personal Expenses,Single,0,Renter,No Previous Loan,26388,Master or above,0.0,37946,1
168,744,61038,Employed,0.213,7503,Home Purchase,Married,3,Renter,Paid in Full,9510,High School,1196.6334664003364,27186,1
169,601,50053,Employed,0.182,4511,Personal Expenses,Single,1,Renter,No Previous Loan,9993,Master or above,0.0,18801,0
170,745,96360,Employed,0.321,4471,Home Purchase,Married,1,Renter,No Previous Loan,9090,Master or above,0.0,44867,1
171,680,84073,Employed,0.163,47345,Personal Expenses,Single,0,Renter,Paid in Full,14536,High School,1257.4266445817946,34473,1
172,800,44042,Employed,0.237,7138,Home Purchase,Single,1,Owner,No Previous Loan,9900,High School,0.0,22021,1
173,522,40322,Employed,0.12,8636,Home Purchase,Single,0,Renter,Defaulted,13545,High School,8705.99189006938,4449,0
174,619,21288,Employed,0.134,28291,Personal Expenses,Single,1,Renter,No Previous Loan,57201,Bachelor,0.0,8235,0
175,784,64803,Employed,0.176,7456,Home Purchase,Single,2,Living with Parents,Paid in Full,54798,Bachelor,898.953095632871,30854,1
176,703,57569,Employed,0.12,2726,Personal Expenses,Married,2,Living with Parents,No Previous Loan,20012,High School,0.0,25294,1
177,800,105894,Employed,0.28,3084,Personal Expenses,Married,2,Renter,Paid in Full,1376,Bachelor,0.0,52947,1
178,669,0,Unemployed,0.1,14171,Home Purchase,Single,2,Owner,No Previous Loan,4647,High School,0.0,0,0
179,800,116916,Employed,0.21,24664,Car Purchase,Married,1,Living with Parents,Paid in Full,11343,High School,0.0,58458,1
180,724,42337,Employed,0.213,12253,Home Purchase,Single,1,Renter,No Previous Loan,5632,Bachelor,0.0,19157,1
181,800,105997,Employed,0.1,23069,Car Purchase,Single,0,Owner,Paid in Full,14641,High School,1886.5947938693078,51111,1
182,535,0,Unemployed,0.156,2989,Car Purchase,Single,1,Living with Parents,Paid in Full,10184,High School,0.0,0,0
183,690,88512,Self-employed,0.226,3198,Education,Single,0,Renter,No Previous Loan,9161,Bachelor,0.0,38170,1
184,484,28932,Employed,0.243,142877,Personal Expenses,Single,1,Renter,No Previous Loan,8256,Bachelor,0.0,8751,0
185,763,67485,Employed,0.18,51461,Home Purchase,Married,4,Owner,No Previous Loan,2832,Master or above,0.0,32181,1
186,589,22242,Self-employed,0.268,32363,Car Purchase,Single,1,Renter,Paid in Full,7993,Master or above,1356.1647216432175,6831,0
187,591,52498,Employed,0.189,7754,Education,Single,3,Living with Parents,Paid in Full,31736,Bachelor,0.0,19391,0
188,708,74777,Employed,0.201,11822,Home Purchase,Married,1,Living with Parents,No Previous Loan,11829,Bachelor,0.0,33088,1
189,724,46240,Employed,0.225,14974,Personal Expenses,Single,0,Owner,No Previous Loan,24881,Bachelor,0.0,20923,1
190,649,35485,Employed,0.293,55834,Car Purchase,Married,2,Renter,Paid in Full,13114,Master or above,0.0,14393,0
191,800,91597,Self-employed,0.132,22439,Personal Expenses,Single,0,Renter,Paid in Full,18025,High School,0.0,45798,1
192,480,0,Unemployed,0.151,25380,Education,Single,2,Living with Parents,No Previous Loan,31497,High School,0.0,0,0
193,666,46972,Employed,0.133,12684,Car Purchase,Married,4,Renter,No Previous Loan,4945,Bachelor,0.0,19552,0
194,547,61270,Employed,0.167,33139,Personal Expenses,Single,1,Renter,No Previous Loan,29822,High School,0.0,20946,1
195,713,224231,Employed,0.343,20294,Personal Expenses,Married,2,Renter,Paid in Full,908,Bachelor,0.0,99922,1
196,778,106814,Self-employed,0.257,15675,Personal Expenses,Single,1,Renter,Paid in Full,7440,Bachelor,0.0,51938,1
197,652,107300,Self-employed,0.1,7134,Home Purchase,Single,2,Living with Parents,No Previous Loan,92191,Bachelor,0.0,43724,0
198,666,74598,Self-employed,0.14,13389,Car Purchase,Single,4,Renter,Paid in Full,9530,Master or above,0.0,31051,1
199,800,65208,Self-employed,0.237,5096,Car Purchase,Single,1,Renter,Paid in Full,31727,Master or above,0.0,32604,1
200,688,18107,Employed,0.109,14409,Car Purchase,Single,1,Owner,Paid in Full,13994,Master or above,1675.357725358305,6110,1
201,800,42727,Employed,0.127,16394,Car Purchase,Single,0,Owner,Paid in Full,15919,High School,0.0,21363,1
202,800,47184,Employed,0.334,1354,Personal Expenses,Single,0,Renter,Paid in Full,3165,High School,0.0,23592,1
203,662,23497,Self-employed,0.139,11913,Home Purchase,Single,1,Living with Parents,No Previous Loan,9115,High School,0.0,9721,0
204,747,33637,Employed,0.295,4628,Home Purchase,Married,1,Living with Parents,No Previous Loan,4401,High School,0.0,15704,1
205,710,22285,Employed,0.326,24697,Home Purchase,Single,0,Renter,Paid in Full,28268,Bachelor,0.0,9888,1
206,782,58861,Employed,0.127,28366,Home Purchase,Married,1,Living with Parents,No Previous Loan,35663,High School,0.0,28768,1
207,732,90353,Employed,0.111,9793,Home Purchase,Married,3,Renter,Paid in Full,6702,High School,0.0,41336,1
208,687,104348,Employed,0.172,25973,Personal Expenses,Single,0,Living with Parents,No Previous Loan,7602,Bachelor,0.0,44804,1
209,479,73827,Employed,0.1,27088,Personal Expenses,Single,1,Renter,Defaulted,33905,Bachelor,16927.966906946567,5173,0
210,737,37064,Employed,0.212,11921,Education,Single,0,Renter,No Previous Loan,2022,Bachelor,0.0,17072,1
211,585,22835,Employed,0.179,69570,Car Purchase,Single,3,Renter,No Previous Loan,31806,Bachelor,0.0,8349,0
212,557,24925,Employed,0.236,7264,Personal Expenses,Single,1,Owner,Paid in Full,10126,Bachelor,0.0,8677,1
213,800,31812,Employed,0.34,65327,Home Purchase,Single,2,Owner,Paid in Full,11592,Bachelor,1462.6958245868693,14443,1
214,680,38471,Self-employed,0.282,11975,Home Purchase,Single,0,Living with Parents,No Previous Loan,10475,Bachelor,0.0,16350,0
215,800,55393,Employed,0.249,6454,Car Purchase,Single,0,Owner,Paid in Full,59406,Bachelor,0.0,27696,1
216,598,36135,Employed,0.1,10553,Car Purchase,Single,2,Renter,Defaulted,9353,High School,87836.59980628469,0,0
217,773,71081,Self-employed,0.244,4996,Personal Expenses,Single,3,Owner,No Previous Loan,2767,Bachelor,0.0,34341,1
218,785,53421,Employed,0.372,32871,Personal Expenses,Single,2,Renter,No Previous Loan,9622,High School,0.0,26209,0
219,655,60317,Self-employed,0.1,3020,Education,Married,3,Owner,No Previous Loan,8450,Master or above,0.0,24692,1
220,632,106109,Employed,0.269,60199,Car Purchase,Married,2,Owner,No Previous Loan,7697,High School,0.0,41913,1
221,628,33255,Employed,0.184,5883,Home Purchase,Single,1,Living with Parents,No Previous Loan,33165,Bachelor,0.0,13052,0
222,546,73972,Employed,0.115,34629,Car Purchase,Married,1,Living with Parents,No Previous Loan,13257,Master or above,0.0,25242,1
223,800,59582,Employed,0.28,15367,Personal Expenses,Single,2,Renter,Paid in Full,19804,High School,0.0,29791,1
224,684,50785,Employed,0.371,19665,Car Purchase,Married,2,Owner,No Previous Loan,310,Bachelor,0.0,21710,1
225,659,93407,Employed,0.278,8314,Home Purchase,Single,2,Renter,No Previous Loan,8689,High School,0.0,38472,1
226,737,0,Unemployed,0.163,21345,Car Purchase,Single,1,Living with Parents,Paid in Full,7453,Master or above,0.0,0,0
227,800,37378,Employed,0.106,17167,Education,Married,3,Living with Parents,Paid in Full,41539,High School,0.0,18689,1
228,771,54776,Self-employed,0.214,3490,Education,Divorced,1,Owner,Paid in Full,37779,Master or above,0.0,26395,1
229,754,69058,Employed,0.287,5729,Car Purchase,Married,2,Renter,No Previous Loan,28517,Master or above,0.0,32543,1
230,554,52344,Self-employed,0.161,8733,Personal Expenses,Single,1,Renter,Defaulted,8146,High School,37214.20858259502,0,0
